vtleave,atchctr,atcherp
TRUE,8,3
FALSE,9,0
TRUE,6,0
FALSE,2,2
TRUE,10,0
FALSE,7,6
TRUE,10,0
TRUE,8,0
FALSE,7,7
TRUE,7,3
FALSE,7,7
TRUE,10,7
TRUE,8,7
TRUE,10,8
TRUE,9,3
FALSE,8,7
TRUE,8,8
FALSE,8,6
FALSE,0,7
TRUE,6,0
TRUE,7,3
FALSE,9,7
TRUE,7,0
TRUE,10,1
FALSE,10,0
TRUE,10,4
FALSE,8,7
TRUE,6,3
FALSE,7,3
TRUE,10,3
FALSE,7,2
TRUE,9,2
FALSE,6,8
FALSE,6,5
TRUE,8,0
TRUE,8,6
FALSE,8,7
FALSE,9,8
TRUE,9,3
TRUE,8,4
TRUE,7,2
FALSE,8,6
FALSE,9,5
TRUE,10,0
FALSE,10,8
FALSE,4,4
FALSE,9,2
TRUE,8,5
FALSE,8,6
FALSE,10,1
FALSE,10,7
TRUE,10,0
FALSE,7,7
TRUE,7,5
TRUE,8,0
TRUE,7,7
TRUE,9,5
TRUE,9,5
FALSE,8,8
TRUE,8,8
FALSE,8,6
TRUE,9,3
TRUE,8,6
FALSE,7,7
FALSE,7,6
FALSE,6,6
TRUE,10,2
TRUE,3,3
TRUE,10,6
FALSE,5,5
FALSE,7,7
FALSE,8,6
TRUE,10,4
TRUE,10,1
FALSE,0,0
FALSE,8,5
FALSE,5,5
FALSE,3,3
FALSE,8,7
FALSE,10,1
TRUE,6,4
TRUE,8,3
TRUE,6,3
FALSE,9,7
TRUE,9,2
FALSE,8,8
FALSE,9,2
FALSE,2,2
FALSE,7,4
TRUE,8,5
TRUE,9,5
FALSE,7,5
TRUE,9,3
TRUE,7,5
FALSE,6,6
TRUE,9,0
FALSE,4,2
FALSE,10,8
FALSE,6,9
TRUE,6,6
FALSE,8,7
FALSE,7,6
FALSE,7,3
FALSE,10,5
TRUE,5,5
FALSE,9,7
FALSE,10,6
FALSE,9,6
FALSE,8,5
TRUE,3,2
FALSE,8,7
TRUE,10,4
FALSE,7,5
FALSE,8,6
TRUE,8,3
FALSE,8,4
FALSE,9,8
FALSE,6,7
TRUE,7,7
FALSE,6,2
FALSE,6,6
TRUE,7,3
TRUE,10,8
TRUE,8,2
TRUE,9,3
TRUE,10,6
TRUE,9,5
TRUE,10,3
FALSE,6,5
TRUE,8,2
TRUE,9,3
TRUE,7,0
TRUE,3,0
FALSE,7,7
TRUE,8,4
FALSE,7,10
TRUE,10,5
FALSE,5,5
TRUE,7,3
FALSE,5,7
TRUE,8,6
TRUE,10,6
FALSE,7,9
TRUE,9,0
TRUE,10,6
TRUE,6,6
FALSE,10,3
FALSE,8,8
FALSE,3,3
TRUE,8,5
FALSE,5,3
TRUE,9,9
TRUE,10,7
FALSE,8,8
FALSE,7,6
FALSE,10,0
TRUE,7,6
TRUE,9,2
TRUE,7,6
FALSE,10,5
FALSE,8,5
TRUE,8,5
TRUE,9,6
FALSE,9,9
FALSE,8,5
FALSE,4,8
TRUE,8,3
TRUE,7,0
TRUE,9,1
FALSE,4,7
TRUE,9,3
TRUE,7,6
TRUE,9,3
FALSE,3,3
FALSE,9,5
TRUE,10,0
FALSE,7,6
FALSE,8,9
TRUE,9,2
TRUE,7,7
TRUE,8,2
FALSE,4,5
TRUE,8,4
TRUE,7,4
TRUE,10,7
TRUE,8,5
FALSE,6,7
TRUE,6,5
TRUE,10,3
TRUE,7,3
TRUE,10,3
TRUE,6,3
TRUE,10,0
TRUE,10,2
FALSE,10,9
FALSE,8,6
TRUE,9,6
TRUE,8,7
FALSE,10,4
FALSE,10,8
FALSE,9,5
TRUE,10,3
FALSE,8,10
FALSE,7,2
TRUE,10,7
FALSE,9,8
TRUE,5,2
TRUE,8,7
FALSE,3,4
FALSE,4,6
FALSE,8,6
FALSE,9,6
FALSE,2,4
FALSE,6,5
FALSE,6,5
FALSE,5,5
TRUE,10,8
FALSE,10,8
TRUE,8,4
TRUE,0,0
TRUE,3,0
FALSE,0,5
TRUE,10,1
TRUE,7,1
FALSE,8,8
TRUE,7,4
FALSE,6,5
TRUE,9,7
FALSE,10,3
TRUE,5,8
TRUE,9,3
FALSE,5,5
TRUE,8,6
FALSE,6,3
FALSE,8,5
TRUE,9,4
FALSE,7,7
TRUE,5,5
FALSE,8,5
FALSE,10,5
TRUE,8,0
FALSE,7,6
FALSE,4,5
FALSE,9,4
TRUE,7,6
FALSE,10,7
TRUE,7,5
TRUE,10,8
TRUE,7,5
FALSE,10,2
TRUE,9,5
TRUE,5,0
TRUE,7,4
FALSE,7,5
TRUE,9,4
TRUE,9,9
FALSE,2,4
TRUE,7,2
FALSE,9,9
FALSE,10,9
FALSE,3,3
TRUE,1,0
FALSE,5,0
FALSE,7,6
FALSE,10,0
FALSE,8,5
TRUE,10,0
FALSE,8,8
FALSE,0,5
TRUE,9,5
TRUE,10,7
FALSE,6,6
TRUE,8,0
TRUE,8,4
FALSE,10,5
FALSE,10,9
FALSE,8,7
TRUE,9,2
FALSE,8,5
TRUE,10,3
FALSE,10,4
FALSE,10,5
FALSE,3,3
TRUE,10,1
TRUE,8,3
FALSE,9,7
FALSE,3,6
TRUE,10,0
TRUE,10,5
FALSE,7,7
FALSE,8,2
FALSE,7,7
TRUE,10,8
FALSE,9,6
FALSE,9,6
TRUE,9,1
FALSE,5,4
TRUE,10,4
TRUE,9,2
TRUE,2,2
TRUE,8,5
FALSE,7,3
TRUE,10,10
TRUE,8,6
FALSE,7,6
FALSE,8,4
TRUE,8,3
FALSE,10,9
FALSE,9,5
TRUE,10,0
FALSE,8,3
FALSE,8,7
FALSE,7,7
FALSE,8,5
TRUE,6,5
TRUE,0,0
TRUE,9,7
TRUE,9,2
FALSE,7,7
FALSE,8,6
FALSE,7,4
TRUE,5,5
FALSE,8,5
FALSE,8,5
FALSE,1,6
FALSE,6,4
TRUE,5,3
FALSE,8,6
FALSE,10,10
TRUE,8,5
TRUE,10,6
FALSE,7,6
TRUE,5,1
FALSE,5,0
TRUE,8,3
TRUE,8,5
TRUE,9,5
FALSE,6,3
FALSE,7,6
FALSE,6,0
TRUE,7,7
FALSE,9,6
FALSE,10,6
FALSE,8,2
TRUE,5,1
TRUE,9,4
FALSE,9,10
FALSE,10,0
FALSE,9,8
TRUE,2,1
FALSE,0,0
FALSE,9,8
TRUE,7,7
TRUE,10,6
TRUE,10,4
FALSE,7,7
TRUE,7,3
FALSE,8,8
FALSE,9,5
FALSE,6,5
TRUE,8,3
FALSE,7,8
FALSE,5,10
TRUE,5,0
TRUE,0,0
FALSE,7,2
FALSE,7,7
TRUE,9,5
TRUE,9,7
FALSE,8,3
FALSE,9,8
FALSE,7,10
FALSE,2,2
FALSE,2,2
FALSE,5,5
FALSE,8,5
TRUE,6,2
FALSE,5,8
TRUE,5,1
TRUE,8,5
TRUE,1,1
FALSE,4,6
FALSE,9,8
FALSE,10,7
TRUE,8,6
FALSE,8,8
FALSE,10,8
TRUE,6,3
TRUE,10,0
FALSE,6,4
TRUE,9,3
FALSE,8,7
FALSE,8,5
FALSE,10,10
FALSE,10,7
TRUE,10,0
FALSE,5,5
FALSE,8,8
FALSE,10,3
FALSE,7,7
TRUE,10,10
TRUE,10,5
TRUE,7,7
TRUE,7,5
FALSE,7,7
TRUE,10,3
TRUE,8,4
FALSE,9,8
FALSE,9,8
TRUE,8,6
TRUE,10,0
TRUE,8,5
TRUE,6,1
TRUE,9,5
FALSE,4,10
FALSE,4,4
TRUE,6,6
FALSE,5,4
TRUE,3,1
FALSE,8,5
TRUE,4,4
FALSE,6,7
TRUE,5,0
TRUE,9,3
FALSE,9,7
FALSE,1,2
FALSE,7,7
FALSE,1,8
TRUE,7,5
TRUE,7,4
TRUE,5,2
FALSE,8,8
TRUE,8,6
FALSE,7,4
FALSE,2,8
TRUE,8,5
FALSE,4,6
FALSE,10,10
FALSE,8,4
TRUE,9,8
FALSE,10,7
TRUE,0,0
TRUE,6,2
FALSE,9,5
FALSE,8,8
FALSE,7,6
TRUE,8,0
FALSE,6,6
TRUE,9,6
TRUE,7,7
FALSE,8,8
FALSE,5,6
FALSE,8,7
TRUE,9,3
TRUE,9,7
FALSE,9,7
TRUE,8,3
FALSE,8,8
FALSE,9,0
TRUE,10,4
TRUE,8,2
FALSE,6,4
FALSE,8,3
FALSE,7,0
TRUE,8,3
TRUE,7,4
FALSE,1,8
TRUE,3,3
TRUE,8,0
FALSE,8,4
TRUE,6,10
TRUE,10,4
TRUE,4,4
FALSE,7,4
FALSE,3,3
TRUE,8,7
TRUE,8,5
TRUE,10,2
TRUE,8,3
TRUE,10,5
TRUE,9,8
FALSE,10,9
FALSE,8,8
TRUE,6,2
FALSE,8,7
TRUE,8,3
FALSE,4,7
TRUE,6,3
TRUE,9,5
FALSE,4,4
TRUE,10,0
FALSE,9,7
FALSE,8,4
TRUE,7,7
